Credit Card Name,Bank,Network 1,Network 2,Network 3,Network 4
ICAI Exclusive Bobcard,Bank of Baroda,Mastercard Standard,RuPay Classic,,
Yes Prosperity Cashback Plus Credit Card,Yes Bank,Mastercard Standard,,,
Axis Bank Signature Credit Card,Axis Bank,Visa Signature,,,
Max SBI Card Select,State Bank of India,Visa Signature,,,
RBL Bank Cookie Credit Card,RBL Bank,Mastercard Standard,,,
Axis Bank Freecharge Plus Credit Card,Axis Bank,Visa Platinum,,,
UCO Bank SBI Card Prime,UCO Bank,Visa Signature,,,
Intermiles Amex Voyage Credit Card,IndusInd Bank,American Express Platinum,,,
Tata Star Select Credit Card,Tata Cards,Visa Platinum,Mastercard Platinum,,
HSBC Taj Credit Card,HSBC Bank,Visa Infinite,,,
Canara Bank Mastercard Platinum Credit Card,Canara Bank,Mastercard Platinum,,,
Tata Titanium Card,Tata Cards,Mastercard Standard,,,
Marriott Bonvoy HDFC Bank Credit Card,HDFC Bank,Diners Club International,,,
UCO Bank Simplysave SBI card,UCO Bank,Visa Platinum,,,
American Express Membership Rewards Credit Card,American Express,American Express Standard,,,
ICICI Bank Times Black Credit Card,ICICI Bank,Visa Infinite,,,
Axis Bank Platinum Credit Card ,Axis Bank,Visa Platinum,,,
Axis Bank Shoppers Stop Credit Card,Axis Bank,Visa Platinum,,,
Adani One ICICI Signature Credit Card ,ICICI Bank,Visa Signature,,,
Axis Bank Vistara Credit Card,Axis Bank,Visa Platinum,,,
LIC Axis Bank Signature Credit Card,Axis Bank,Visa Signature,,,
Bajaj Finance Platinum TravelEasy SuperCard,Bajaj Finance,Mastercard Platinum,,,
CUB SBI Prime Card,City Union Bank,Visa Signature,,,
Chennai Super Kings ICICI Bank Credit Card.,ICICI Bank,Visa Classic,,,
Axis Bank Freecharge Credit Card,Axis Bank,Visa Platinum,,,
Yes EMI Credit Card ,Yes Bank,Visa Platinum,,,
Yes Reserv Credit Card,Yes Bank,Mastercard World,,,
HDFC Bank Biz Grow Credit Card,HDFC Bank,Visa Business ,Rupay Platinum,,
SimplySave SBI Card,State Bank of India,Visa Platinum,Rupay Platinum,,
 HDFC Biz Black Metal Edition Credit Card,HDFC Bank,Diners Club International,,,
Assam Rifles The Sentinel Bobcard,Bank of Baroda,Rupay Select,,,
ICICI HPCL Coral Credit Card,ICICI Bank,Visa Platinum,Mastercar Platinum,Amex Standard,
First Citizen Citi Credit Card ,CITI Bank,Visa Platinum,,,
