Offer,Description,Link,Eligible Credit Cards,Eligible Debit Cards,UPI
"IndusInd Bank Super Premium & Premium Credit Cards Offer (Indulge, Crest, Celesta, Heritage (Non-Metal) , Legacy, Vistara Explorer Co - Branded, Pinnacle)",IndusInd Bank Super Premium & Premium Credit Cards Offer,"https://in.bookmyshow.com/offers/indusind-bank-super-premium-&-premium-credit-cards-offer-(indulge,-crest,-celesta,-heritage-(non-metal)-,-legacy,-vistara-explorer-co--branded,-pinnacle)/INDSPC0424",IndusInd Vistara Explorer Credit Card,,
"IndusInd Bank Super Premium & Premium Credit Cards Offer (Indulge, Crest, Celesta, Heritage (Non-Metal) , Legacy, Vistara Explorer Co - Branded, Pinnacle)",IndusInd Bank Super Premium & Premium Credit Cards Offer,"https://in.bookmyshow.com/offers/indusind-bank-super-premium-&-premium-credit-cards-offer-(indulge,-crest,-celesta,-heritage-(non-metal)-,-legacy,-vistara-explorer-co--branded,-pinnacle)/INDSPC0424",IndusInd Pinnacle Credit Card,,
RBL PLAY Credit Card  Welcome Offer,RBL PLAY Credit Card  Welcome Offer,https://in.bookmyshow.com/offers/rbl-play-credit-card--welcome-offer/RBLPLWL222,RBL Play Credit Card,,
VISA Blockbuster Weekends Offer,Get up to INR 300 off on movies with VISA Signature Cards,https://in.bookmyshow.com/offers/visa-blockbuster-weekends-offer/VBOGO0224,MakeMyTrip ICICI Bank Signature Credit Card (Visa Signature),,
VISA Blockbuster Weekends Offer,Get up to INR 300 off on movies with VISA Signature Cards,https://in.bookmyshow.com/offers/visa-blockbuster-weekends-offer/VBOGO0224,Axis Bank Horizon Credit Card (Visa Signature),,
VISA Blockbuster Weekends Offer,Get up to INR 300 off on movies with VISA Signature Cards,https://in.bookmyshow.com/offers/visa-blockbuster-weekends-offer/VBOGO0224,DBS Spark20 Credit Card (Visa Signature),,
VISA Blockbuster Weekends Offer,Get up to INR 300 off on movies with VISA Signature Cards,https://in.bookmyshow.com/offers/visa-blockbuster-weekends-offer/VBOGO0224,Paytm HDFC Bank Select Business Credit Card (Visa Signature),,
VISA Blockbuster Weekends Offer,Get up to INR 300 off on movies with VISA Signature Cards,https://in.bookmyshow.com/offers/visa-blockbuster-weekends-offer/VBOGO0224,Emirates Skywards ICICI Bank Emerald Credit Card (Visa Signature),,
VISA Blockbuster Weekends Offer,Get up to INR 300 off on movies with VISA Signature Cards,https://in.bookmyshow.com/offers/visa-blockbuster-weekends-offer/VBOGO0224,Yes Bank Finbooster Credit Card (Visa Signature),,
VISA Blockbuster Weekends Offer,Get up to INR 300 off on movies with VISA Signature Cards,https://in.bookmyshow.com/offers/visa-blockbuster-weekends-offer/VBOGO0224,Union Bank of India Visa Signature Credit Card (Visa Signature),,
VISA Blockbuster Weekends Offer,Get up to INR 300 off on movies with VISA Signature Cards,https://in.bookmyshow.com/offers/visa-blockbuster-weekends-offer/VBOGO0224,Club Vistara SBI Card Prime (Visa Signature),,
